NC_000010.11	BestRefSeq%2CGnomon	gene	37125598	37309298	.	+	.	gene_id "ANKRD30A"; transcript_id ""; db_xref "GeneID:91074"; db_xref "HGNC:HGNC:17234"; db_xref "MIM:610856"; description "ankyrin repeat domain 30A"; gbkey "Gene"; gene "ANKRD30A"; gene_biotype "protein_coding"; gene_synonym "NY-BR-1"; 
NC_000010.11	Gnomon	transcript	37125754	37309298	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gbkey "misc_RNA"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; 
NC_000010.11	Gnomon	exon	37125754	37126008	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "1"; 
NC_000010.11	Gnomon	exon	37129893	37130007	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "2"; 
NC_000010.11	Gnomon	exon	37130205	37130378	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "3"; 
NC_000010.11	Gnomon	exon	37132240	37132346	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "4"; 
NC_000010.11	Gnomon	exon	37133916	37134053	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "5"; 
NC_000010.11	Gnomon	exon	37136607	37136671	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "6"; 
NC_000010.11	Gnomon	exon	37141718	37142290	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "7"; 
NC_000010.11	Gnomon	exon	37144995	37145056	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "8"; 
NC_000010.11	Gnomon	exon	37147370	37147457	.	+	.	gene_id "ANKRD30A"; transcript_id "XR_002957039.1"; db_xref "GeneID:91074"; gene "ANKRD30A"; model_evidence "Supporting evidence includes similarity to: 32 ESTs, 1 Protein, 15 long SRA reads, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "ankyrin repeat domain 30A, transcript variant X2"; transcript_biotype "transcript"; exon_number "9"; 
