NC_000009.12	BestRefSeq%2CGnomon	gene	73151865	73170393	.	+	.	gene_id "ANXA1"; transcript_id ""; db_xref "GeneID:301"; db_xref "HGNC:HGNC:533"; db_xref "MIM:151690"; description "annexin A1"; gbkey "Gene"; gene "ANXA1"; gene_biotype "protein_coding"; gene_synonym "ANX1"; gene_synonym "LPC1"; 
NC_000009.12	BestRefSeq	transcript	73151865	73170393	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gbkey "mRNA"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; 
NC_000009.12	BestRefSeq	exon	73151865	73151924	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "1"; 
NC_000009.12	BestRefSeq	exon	73158522	73158601	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "2"; 
NC_000009.12	BestRefSeq	exon	73158695	73158803	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "3"; 
NC_000009.12	BestRefSeq	exon	73159329	73159423	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "4"; 
NC_000009.12	BestRefSeq	exon	73160263	73160376	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "5"; 
NC_000009.12	BestRefSeq	exon	73160803	73160893	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "6"; 
NC_000009.12	BestRefSeq	exon	73162782	73162861	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "7"; 
NC_000009.12	BestRefSeq	exon	73163476	73163532	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "8"; 
NC_000009.12	BestRefSeq	exon	73165116	73165209	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "9"; 
NC_000009.12	BestRefSeq	exon	73166097	73166192	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "10"; 
NC_000009.12	BestRefSeq	exon	73167497	73167555	.	+	.	gene_id "ANXA1"; transcript_id "NM_000700.3"; db_xref "Ensembl:ENST00000257497.11"; db_xref "GeneID:301"; gene "ANXA1"; product "annexin A1"; tag "MANE Select"; transcript_biotype "mRNA"; exon_number "11"; 
