NC_000004.12	BestRefSeq%2CGnomon	gene	168092525	168187736	.	+	.	gene_id "ANXA10"; transcript_id ""; db_xref "GeneID:11199"; db_xref "HGNC:HGNC:534"; db_xref "MIM:608008"; description "annexin A10"; gbkey "Gene"; gene "ANXA10"; gene_biotype "protein_coding"; gene_synonym "ANX14"; 
NC_000004.12	Gnomon	transcript	168092525	168187690	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gbkey "mRNA"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; 
NC_000004.12	Gnomon	exon	168092525	168092718	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "1"; 
NC_000004.12	Gnomon	exon	168128084	168128165	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "2"; 
NC_000004.12	Gnomon	exon	168139486	168139580	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "3"; 
NC_000004.12	Gnomon	exon	168160234	168160293	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "4"; 
NC_000004.12	Gnomon	exon	168162528	168162641	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "5"; 
NC_000004.12	Gnomon	exon	168164198	168164288	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "6"; 
NC_000004.12	Gnomon	exon	168165247	168165326	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "7"; 
NC_000004.12	Gnomon	exon	168177740	168177793	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "8"; 
NC_000004.12	Gnomon	exon	168177890	168177983	.	+	.	gene_id "ANXA10"; transcript_id "XM_011531571.2"; db_xref "GeneID:11199"; gene "ANXA10"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, 7 long SRA reads, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 9 samples with support for all annotated introns"; product "annexin A10, transcript variant X1"; transcript_biotype "mRNA"; exon_number "9"; 
