NC_000010.11	BestRefSeq%2CGnomon	gene	47467993	47991879	.	-	.	gene_id "ANXA8"; transcript_id ""; db_xref "GeneID:653145"; db_xref "HGNC:HGNC:546"; db_xref "MIM:602396"; description "annexin A8"; gbkey "Gene"; gene "ANXA8"; gene_biotype "protein_coding"; gene_synonym "ANX8"; gene_synonym "CH17-360D5.2"; 
NC_000010.11	Gnomon	transcript	47467993	47484771	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gbkey "misc_RNA"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; 
NC_000010.11	Gnomon	exon	47484481	47484771	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "1"; 
NC_000010.11	Gnomon	exon	47483913	47484020	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "2"; 
NC_000010.11	Gnomon	exon	47479798	47479888	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "3"; 
NC_000010.11	Gnomon	exon	47478533	47478627	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "4"; 
NC_000010.11	Gnomon	exon	47477081	47477194	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "5"; 
NC_000010.11	Gnomon	exon	47476232	47476322	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "6"; 
NC_000010.11	Gnomon	exon	47474945	47475004	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "7"; 
NC_000010.11	Gnomon	exon	47474305	47474398	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "8"; 
NC_000010.11	Gnomon	exon	47473970	47474065	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "9"; 
NC_000010.11	Gnomon	exon	47472133	47472191	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "10"; 
NC_000010.11	Gnomon	exon	47471262	47471384	.	-	.	gene_id "ANXA8"; transcript_id "XR_428714.3"; db_xref "GeneID:653145"; gene "ANXA8"; model_evidence "Supporting evidence includes similarity to: 1 mRNA, 53 ESTs, 2 Proteins, 1 long SRA read, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"; product "annexin A8, transcript variant X10"; transcript_biotype "transcript"; exon_number "11"; 
